region,preproc,model,thresh,score
MLd,surprise,leglm,0.25,0.457533
MLd,surprise,leglm,0.50,0.447183
MLd,surprise,leglm,0.75,0.392678
MLd,surprise,leglm,1.00,0.262973
OV,rawspectrogram,linear,0.00,0.153407
OV,rawspectrogram,linear,0.25,0.671491
OV,rawspectrogram,linear,0.50,0.676830
OV,rawspectrogram,linear,0.75,0.678295
OV,rawspectrogram,linear,1.00,0.676859
OV,rawspectrogram,sepnl_spline,0.00,0.609506
OV,rawspectrogram,sepnl_spline,0.25,0.671745
OV,rawspectrogram,sepnl_spline,0.50,0.670411
OV,rawspectrogram,sepnl_spline,0.75,0.654956
OV,rawspectrogram,sepnl_spline,1.00,0.678276
OV,rawspectrogram,sepnl_dists,0.00,0.362818
OV,rawspectrogram,sepnl_dists,0.25,0.537939
OV,rawspectrogram,sepnl_dists,0.50,0.540347
OV,rawspectrogram,sepnl_dists,0.75,0.544648
OV,rawspectrogram,sepnl_dists,1.00,0.542459
OV,rawspectrogram,poisson,0.00,0.656286
OV,rawspectrogram,poisson,0.25,0.665547
OV,rawspectrogram,poisson,0.50,0.666518
OV,rawspectrogram,poisson,0.75,0.668132
OV,rawspectrogram,poisson,1.00,0.666088
OV,rawspectrogram,binomial,0.00,0.475087
OV,rawspectrogram,binomial,0.25,0.512396
OV,rawspectrogram,binomial,0.50,0.668674
OV,rawspectrogram,binomial,0.75,0.672649
OV,rawspectrogram,binomial,1.00,0.675545
OV,rawspectrogram,leglm,0.00,0.655343
OV,rawspectrogram,leglm,0.25,0.678006
OV,rawspectrogram,leglm,0.50,0.680893
OV,rawspectrogram,leglm,0.75,0.682213
OV,rawspectrogram,leglm,1.00,0.680569
OV,lyons,linear,0.00,0.260275
OV,lyons,linear,0.25,0.633235
OV,lyons,linear,0.50,0.639526
OV,lyons,linear,0.75,0.642086
OV,lyons,linear,1.00,0.642350
OV,lyons,sepnl_spline,0.00,0.654659
OV,lyons,sepnl_spline,0.25,0.636589
OV,lyons,sepnl_spline,0.50,0.647025
OV,lyons,sepnl_spline,0.75,0.649447
OV,lyons,sepnl_spline,1.00,0.541063
OV,lyons,sepnl_dists,0.00,0.648474
OV,lyons,sepnl_dists,0.25,0.635854
OV,lyons,sepnl_dists,0.50,0.646025
OV,lyons,sepnl_dists,0.75,0.648965
OV,lyons,sepnl_dists,1.00,0.653571
OV,lyons,poisson,0.00,0.626394
OV,lyons,poisson,0.25,0.635861
