unit,region,preproc,model,thresh,score
oo2015_9_A,L,surprise,leglm,0.25,0.366823
oo2015_9_A,L,surprise,leglm,0.50,0.362367
oo2015_9_A,L,surprise,leglm,0.75,0.365333
oo2015_9_A,L,surprise,leglm,1.00,0.322008
oo2015_9_A,L,neurogram,linear,0.50,0.325461
oo2015_9_A,L,neurogram,linear,1.00,0.288492
oo2015_9_A,L,neurogram,sepnl_spline,0.50,0.341634
oo2015_9_A,L,neurogram,sepnl_spline,1.00,0.299669
oo2015_9_A,L,neurogram,sepnl_dists,0.50,0.326177
oo2015_9_A,L,neurogram,sepnl_dists,1.00,0.294785
oo2015_9_A,L,neurogram,leglm,0.50,0.305277
oo2015_9_A,L,neurogram,leglm,1.00,0.272184
yy1617_5_B,L,rawspectrogram,linear,0.00,0.386059
yy1617_5_B,L,rawspectrogram,linear,0.25,0.384498
yy1617_5_B,L,rawspectrogram,linear,0.50,0.387251
yy1617_5_B,L,rawspectrogram,linear,0.75,0.394018
yy1617_5_B,L,rawspectrogram,linear,1.00,0.388005
yy1617_5_B,L,rawspectrogram,sepnl_spline,0.00,0.448391
yy1617_5_B,L,rawspectrogram,sepnl_spline,0.25,0.435068
yy1617_5_B,L,rawspectrogram,sepnl_spline,0.50,0.449374
yy1617_5_B,L,rawspectrogram,sepnl_spline,0.75,0.466975
yy1617_5_B,L,rawspectrogram,sepnl_spline,1.00,0.468447
yy1617_5_B,L,rawspectrogram,sepnl_dists,0.00,0.442676
yy1617_5_B,L,rawspectrogram,sepnl_dists,0.25,0.444122
yy1617_5_B,L,rawspectrogram,sepnl_dists,0.50,0.442425
yy1617_5_B,L,rawspectrogram,sepnl_dists,0.75,0.459521
yy1617_5_B,L,rawspectrogram,sepnl_dists,1.00,0.463221
yy1617_5_B,L,rawspectrogram,poisson,0.00,0.288828
yy1617_5_B,L,rawspectrogram,poisson,0.25,0.259897
yy1617_5_B,L,rawspectrogram,poisson,0.50,0.369763
yy1617_5_B,L,rawspectrogram,poisson,0.75,0.378175
yy1617_5_B,L,rawspectrogram,poisson,1.00,0.388186
yy1617_5_B,L,rawspectrogram,binomial,0.00,0.294233
yy1617_5_B,L,rawspectrogram,binomial,0.25,0.297217
yy1617_5_B,L,rawspectrogram,binomial,0.50,0.370356
yy1617_5_B,L,rawspectrogram,binomial,0.75,0.394261
yy1617_5_B,L,rawspectrogram,binomial,1.00,0.407749
yy1617_5_B,L,rawspectrogram,leglm,0.00,0.345581
yy1617_5_B,L,rawspectrogram,leglm,0.25,0.365511
yy1617_5_B,L,rawspectrogram,leglm,0.50,0.394271
yy1617_5_B,L,rawspectrogram,leglm,0.75,0.408339
yy1617_5_B,L,rawspectrogram,leglm,1.00,0.401946
yy1617_5_B,L,lyons,linear,0.00,0.459238
yy1617_5_B,L,lyons,linear,0.25,0.462224
yy1617_5_B,L,lyons,linear,0.50,0.466190
yy1617_5_B,L,lyons,linear,0.75,0.463153
yy1617_5_B,L,lyons,linear,1.00,0.444271
yy1617_5_B,L,lyons,sepnl_spline,0.00,0.457004
yy1617_5_B,L,lyons,sepnl_spline,0.25,0.504190
yy1617_5_B,L,lyons,sepnl_spline,0.50,0.509286
yy1617_5_B,L,lyons,sepnl_spline,0.75,0.511199
yy1617_5_B,L,lyons,sepnl_spline,1.00,0.492190
yy1617_5_B,L,lyons,sepnl_dists,0.00,0.476405
yy1617_5_B,L,lyons,sepnl_dists,0.25,0.485761
yy1617_5_B,L,lyons,sepnl_dists,0.50,0.505793
yy1617_5_B,L,lyons,sepnl_dists,0.75,0.502943
yy1617_5_B,L,lyons,sepnl_dists,1.00,0.489402
yy1617_5_B,L,lyons,poisson,0.00,0.158120
yy1617_5_B,L,lyons,poisson,0.25,0.162446
yy1617_5_B,L,lyons,poisson,0.50,0.381541
yy1617_5_B,L,lyons,poisson,0.75,0.451456
yy1617_5_B,L,lyons,poisson,1.00,0.429723
yy1617_5_B,L,lyons,binomial,0.00,0.145843
yy1617_5_B,L,lyons,binomial,0.25,0.216193
yy1617_5_B,L,lyons,binomial,0.50,0.328009
yy1617_5_B,L,lyons,binomial,0.75,0.454061
yy1617_5_B,L,lyons,binomial,1.00,0.441820
yy1617_5_B,L,lyons,leglm,0.00,0.325897
yy1617_5_B,L,lyons,leglm,0.25,0.444488
yy1617_5_B,L,lyons,leglm,0.50,0.461652
yy1617_5_B,L,lyons,leglm,0.75,0.460081
yy1617_5_B,L,lyons,leglm,1.00,0.452047
yy1617_5_B,L,surprise,linear,0.00,0.496334
yy1617_5_B,L,surprise,linear,0.25,0.495923
yy1617_5_B,L,surprise,linear,0.50,0.493760
yy1617_5_B,L,surprise,linear,0.75,0.489020
