gg1114_5_B,conspecific,flatrip,songrip
rr3334_3_A,conspecific,flatrip,songrip
blublu9394_4_B,bengalese,conspecific,flatrip
blublu9394_2_B,bengalese,conspecific,flatrip
pupu0511_4_A,conspecific,flatrip,songrip
oo1415_4_A,conspecific,flatrip,songrip
oo1415_6_B,conspecific,flatrip,songrip
oo1415_6_A,conspecific,flatrip,songrip
blublu4142_4_B,conspecific,flatrip,songrip
publu0717_8_A,bengalese,conspecific,flatrip
blublu0809_2_B,conspecific,flatrip,songrip
blublu0809_2_A,conspecific,flatrip,songrip
oo1220_2_B,conspecific,flatrip
gg0318_2_A,conspecific,flatrip,songrip
blabla1819_1_A,conspecific,flatrip,songrip
yy2728_4_A,conspecific,flatrip,songrip
lghp1616_4_B,bengalese,conspecific,flatrip
lghp1616_4_A,bengalese,conspecific,flatrip
gg0318_4_A,conspecific,flatrip,songrip
lghp1616_6_A,bengalese,conspecific,flatrip
lghp1616_6_B,bengalese,conspecific,flatrip
rr3334_1_B,conspecific,flatrip,songrip
lghp1616_8_B,bengalese,conspecific,flatrip
lghp1616_8_A,bengalese,conspecific,flatrip
pipu0617_8_B,bengalese,conspecific,flatrip
pipu0617_8_A,bengalese,conspecific,flatrip
pupu0607_5_A,conspecific,flatrip,songrip
pupu0607_5_B,conspecific,flatrip,songrip
gg0116_4_A,conspecific,flatrip,songrip
pipu1018_5_A,bengalese,conspecific,flatrip
oo2015_10_A,conspecific,flatrip
pupu0511_2_A,conspecific,flatrip,songrip
oo1415_2_B,conspecific,flatrip,songrip
oo1415_2_A,conspecific,flatrip,songrip
pipu0617_2_A,bengalese,conspecific,flatrip
yy2728_6_A,conspecific,flatrip,songrip
yy2728_6_B,conspecific,flatrip,songrip
yy0212_3_B,conspecific,flatrip,songrip
publu0717_11_A,bengalese,conspecific,flatrip
oo2015_7_B,conspecific,flatrip
blublu4142_3_B,conspecific,flatrip,songrip
oo1712_8_A,conspecific,flatrip,songrip
oo2015_7_A,conspecific,flatrip
oo1712_8_B,conspecific,flatrip,songrip
pipi1112_1_A,conspecific,flatrip,songrip
blublu4142_1_A,conspecific,flatrip,songrip
pipu0617_7_A,bengalese,conspecific,flatrip
pipu0617_7_B,bengalese,conspecific,flatrip
yy0212_5,conspecific,flatrip,songrip
yy0212_6,conspecific,flatrip,songrip
blublu4142_5_B,conspecific,flatrip,songrip
rr1416_2_B,conspecific,flatrip,songrip
pupu2122_2_A,conspecific,flatrip,songrip
pupu2122_2_B,conspecific,flatrip,songrip
pupu0607_3_B,conspecific,flatrip,songrip
yy2728_5,conspecific,flatrip,songrip
pupu0607_3_A,conspecific,flatrip,songrip
rr1416_4_B,conspecific,flatrip,songrip
pupu2122_4_A,conspecific,flatrip,songrip
oo1712_4_A,conspecific,flatrip,songrip
gg1114_7_A,conspecific,flatrip,songrip
pipu0617_5_B,bengalese,conspecific,flatrip
pipu0617_5_A,bengalese,conspecific,flatrip
oo1712_3_B,conspecific,flatrip,songrip
oo1712_3_A,conspecific,flatrip,songrip
pupu0606_1_A,conspecific,flatrip,songrip
oo1712_5_A,conspecific,flatrip,songrip
oo1712_5_B,conspecific,flatrip,songrip
pupu0511_5_A,conspecific,flatrip,songrip
oo1415_5_A,conspecific,flatrip,songrip
oo1415_5_B,conspecific,flatrip,songrip
blublu9394_5_B,bengalese,conspecific,flatrip
oo1220_3_B,conspecific,flatrip
yg0331_10_B,bengalese,conspecific,flatrip
blublu9394_3_B,bengalese,conspecific,flatrip
oo0909_4_A,conspecific,flatrip,songrip
oo0909_4_B,conspecific,flatrip,songrip
pupu0511_1_B,conspecific,flatrip,songrip
gr0869_11,conspecific,flatrip
pupu0333_5_A,conspecific,flatrip,songrip
pupu0333_5_B,conspecific,flatrip,songrip
oo2015_3_B,conspecific,flatrip
pupu0333_3_B,conspecific,flatrip,songrip
pupu0333_3_A,conspecific,flatrip,songrip
blublu4546_2_A,conspecific,flatrip,songrip
blublu9394_7_B,bengalese,conspecific,flatrip
blublu4546_2_B,conspecific,flatrip,songrip
pupu0333_1_A,conspecific,flatrip,songrip
blublu0916_1_A,conspecific,flatrip,songrip
lghp1616_7_A,bengalese,conspecific,flatrip
lghp1616_7_B,bengalese,conspecific,flatrip
lghp1616_9_B,bengalese,conspecific,flatrip
oo0909_6_B,conspecific,flatrip,songrip
lghp1616_9_A,bengalese,conspecific,flatrip
lghp1616_10_A,bengalese,conspecific,flatrip
lghp1616_10_B,bengalese,conspecific,flatrip
gg0318_3_A,conspecific,flatrip,songrip
oo0909_6_A,conspecific,flatrip,songrip
blublu0916_3_A,conspecific,flatrip,songrip
pupu0606_3_B,conspecific,flatrip,songrip
pupu0606_3_A,conspecific,flatrip,songrip
blublu0916_5_A,conspecific,flatrip,songrip
gr0869_5,conspecific,flatrip
gr0869_7,conspecific,flatrip
gr0869_2,conspecific,flatrip
gr0869_9,conspecific,flatrip
gr0869_8,conspecific,flatrip
pupu0607_6_A,conspecific,flatrip,songrip
pupu0511_1_A,conspecific,flatrip,songrip
blahp4108_4,conspecific,flatrip
blahp4108_5,conspecific,flatrip
pupu0607_4_A,conspecific,flatrip,songrip
pupu0511_3_A,conspecific,flatrip,songrip
pupu0511_3_B,conspecific,flatrip,songrip
pupu0607_4_B,conspecific,flatrip,songrip
oo1415_3_B,conspecific,flatrip,songrip
oo1415_3_A,conspecific,flatrip,songrip
yy2728_1_B,conspecific,flatrip,songrip
yy2728_1_A,conspecific,flatrip,songrip
gg0318_1_A,conspecific,flatrip,songrip
yy2728_7_A,conspecific,flatrip,songrip
yy2728_7_B,conspecific,flatrip,songrip
oo0909_2_B,conspecific,flatrip,songrip
oo0909_2_A,conspecific,flatrip,songrip
ww1211_2_B,conspecific,flatrip,songrip
yy2728_2_A,conspecific,flatrip,songrip
yy2728_2_B,conspecific,flatrip,songrip
oo0108_2_B,conspecific,flatrip,songrip
oo0108_2_A,conspecific,flatrip,songrip
pipu1018_6_B,bengalese,conspecific,flatrip
pipu1018_6_A,bengalese,conspecific,flatrip
lghp1616_5_B,bengalese,conspecific,flatrip
pipu1018_4_A,bengalese,conspecific,flatrip
pipu1018_4_B,bengalese,conspecific,flatrip
lghp1616_5_A,bengalese,conspecific,flatrip
rr1416_1_B,conspecific,flatrip,songrip
pupu0607_2_B,conspecific,flatrip,songrip
pupu0607_2_A,conspecific,flatrip,songrip
oo1712_7_B,conspecific,flatrip,songrip
oo1712_7_A,conspecific,flatrip,songrip
pipu1018_8_A,bengalese,conspecific,flatrip
rr1416_5_B,conspecific,flatrip
yg0111_8_B,bengalese,conspecific,flatrip
gr0965_4,conspecific,flatrip
gr0965_5,conspecific,flatrip
gr0965_6,conspecific,flatrip
gr0965_7,conspecific,flatrip
gr0965_1,conspecific,flatrip
gr0965_2,conspecific,flatrip
gr0965_3,conspecific,flatrip
oo1712_2_B,conspecific,flatrip,songrip
oo1712_2_A,conspecific,flatrip,songrip
pupu0606_4_A,conspecific,flatrip,songrip
pupu0606_4_B,conspecific,flatrip,songrip
blabla1904_2_A,conspecific,flatrip,songrip
oo1010_4_A,conspecific,flatrip,songrip
oo1010_4_B,conspecific,flatrip,songrip
ww1211_4_B,conspecific,flatrip,songrip
oo0108_4_A,conspecific,flatrip,songrip
oo0108_4_B,conspecific,flatrip,songrip
pipu1018_2_B,bengalese,flatrip
pipu1018_2_A,bengalese,flatrip
pupu0333_4_A,conspecific,flatrip,songrip
pupu0333_4_B,conspecific,flatrip,songrip
glb5656_3,conspecific,flatrip
glb5656_2,conspecific,flatrip
glb5656_5,conspecific,flatrip
glb5656_4,conspecific,flatrip
blabla0713_5_B,conspecific,flatrip,songrip
pupu0333_2_B,conspecific,flatrip,songrip
pupu0333_2_A,conspecific,flatrip,songrip
pipu1018_11_A,bengalese,conspecific,flatrip
yy0203_6_B,conspecific,flatrip,songrip
yy0203_6_A,conspecific,flatrip,songrip
blabla1515_3_B,conspecific,flatrip
blabla1515_3_A,conspecific,flatrip
blabla1515_5_A,conspecific,flatrip
blabla1515_5_B,conspecific,flatrip
pupu0606_2_B,conspecific,flatrip,songrip
blabla1515_7_B,conspecific,flatrip
blabla1515_7_A,conspecific,flatrip
pupu0606_2_A,conspecific,flatrip,songrip
blublu0916_4_A,conspecific,flatrip,songrip
yy0203_2_A,conspecific,flatrip,songrip
yg0616_5_B,bengalese,conspecific,flatrip
yg0616_7_B,bengalese,conspecific,flatrip
yg0111_5_B,bengalese,conspecific,flatrip
yy4344_6_B,conspecific,flatrip,songrip
pupu1203_2_A,conspecific,flatrip,songrip
yg0616_12_B,bengalese,conspecific,flatrip
oo0909_5_A,conspecific,flatrip,songrip
oo0909_5_B,conspecific,flatrip,songrip
yg0616_11_B,bengalese,conspecific,flatrip
oo1920_4_B,conspecific,flatrip,songrip
yg0616_9_B,bengalese,conspecific,flatrip
blabla1904_4_B,conspecific,flatrip,songrip
blabla1904_4_A,conspecific,flatrip,songrip
